,Class
sample_0,setosa
sample_1,setosa
sample_2,setosa
sample_3,setosa
sample_4,setosa
sample_5,setosa
sample_6,setosa
sample_7,setosa
sample_8,setosa
sample_9,setosa
sample_10,setosa
sample_11,setosa
sample_12,setosa
sample_13,setosa
sample_14,setosa
sample_15,setosa
sample_16,setosa
sample_17,setosa
sample_18,setosa
sample_19,setosa
sample_20,setosa
sample_21,setosa
sample_22,setosa
sample_23,setosa
sample_24,setosa
sample_25,setosa
sample_26,setosa
sample_27,setosa
sample_28,setosa
sample_29,setosa
sample_30,setosa
sample_31,setosa
sample_32,setosa
sample_33,setosa
sample_34,setosa
sample_35,setosa
sample_36,setosa
sample_37,setosa
sample_38,setosa
sample_39,setosa
sample_40,setosa
sample_41,setosa
sample_42,setosa
sample_43,setosa
sample_44,setosa
sample_45,setosa
sample_46,setosa
sample_47,setosa
sample_48,setosa
sample_49,setosa
sample_0,versicolor
sample_1,versicolor
sample_2,versicolor
sample_3,versicolor
sample_4,versicolor
sample_5,versicolor
sample_6,versicolor
sample_7,versicolor
sample_8,versicolor
sample_9,versicolor
sample_10,versicolor
sample_11,versicolor
sample_12,versicolor
sample_13,versicolor
sample_14,versicolor
sample_15,versicolor
sample_16,versicolor
sample_17,versicolor
sample_18,versicolor
sample_19,versicolor
sample_20,versicolor
sample_21,versicolor
sample_22,versicolor
sample_23,versicolor
sample_24,versicolor
sample_25,versicolor
sample_26,versicolor
sample_27,versicolor
sample_28,versicolor
sample_29,versicolor
sample_30,versicolor
sample_31,versicolor
sample_32,versicolor
sample_33,versicolor
sample_34,versicolor
sample_35,versicolor
sample_36,versicolor
sample_37,versicolor
sample_38,versicolor
sample_39,versicolor
sample_40,versicolor
sample_41,versicolor
sample_42,versicolor
sample_43,versicolor
sample_44,versicolor
sample_45,versicolor
sample_46,versicolor
sample_47,versicolor
sample_48,versicolor
sample_49,versicolor
sample_0,virginica
sample_1,virginica
sample_2,virginica
sample_3,virginica
sample_4,virginica
sample_5,virginica
sample_6,virginica
sample_7,virginica
sample_8,virginica
sample_9,virginica
sample_10,virginica
sample_11,virginica
sample_12,virginica
sample_13,virginica
sample_14,virginica
sample_15,virginica
sample_16,virginica
sample_17,virginica
sample_18,virginica
sample_19,virginica
sample_20,virginica
sample_21,virginica
sample_22,virginica
sample_23,virginica
sample_24,virginica
sample_25,virginica
sample_26,virginica
sample_27,virginica
sample_28,virginica
sample_29,virginica
sample_30,virginica
sample_31,virginica
sample_32,virginica
sample_33,virginica
sample_34,virginica
sample_35,virginica
sample_36,virginica
sample_37,virginica
sample_38,virginica
sample_39,virginica
sample_40,virginica
sample_41,virginica
sample_42,virginica
sample_43,virginica
sample_44,virginica
sample_45,virginica
sample_46,virginica
sample_47,virginica
sample_48,virginica
sample_49,virginica
